2025-04-17 00:00:32 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:01:03 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:01:14 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:02:24 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:03:29 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:03:55 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:05:33 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:05:38 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:06:12 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:08:10 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:08:11 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:12:47 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:19:57 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:31:40 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:31:41 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:31:48 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:38:38 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:38:49 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:46:44 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:50:14 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:52:13 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:54:44 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:56:06 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:57:01 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:57:15 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:58:34 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:59:16 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 00:59:42 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 01:10:25 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 01:11:36 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 01:11:36 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 01:11:39 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 01:13:42 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 01:13:56 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 01:14:59 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 01:15:12 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 01:18:12 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 01:21:07 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 01:26:30 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:02:55 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:03:41 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:09:35 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:28:33 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:28:38 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:35:50 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:37:17 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:52:38 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:54:59 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:55:00 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:55:17 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 08:56:20 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 09:06:04 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 09:07:11 error: [POST] /api/auth/signup >> StatusCode:: 400, Message:: password must be shorter than or equal to 32 characters
2025-04-17 09:07:28 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 09:07:28 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 09:10:23 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 09:26:05 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 09:33:56 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 09:41:58 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-17 09:48:56 error: [POST] /api/allocations/createAllocation >> StatusCode:: 500, Message:: Unknown column 'phases' in 'field list'
2025-04-17 09:52:17 error: [POST] /api/allocations/createAllocation >> StatusCode:: 500, Message:: Unknown column 'Allocation.phase' in 'where clause'
